ds,yhat,yhat_lower,yhat_upper
2018-10-28,371.4785447458411,303.50547520125207,434.6812434494228
2018-11-04,408.3621260506358,342.9131614508534,474.8512162110295
2018-11-11,414.13553009422833,350.91613077500693,477.2436839894481
2018-11-18,392.7736842335989,326.50050168715865,458.8282263813637
2018-11-25,359.06291260880243,296.50709390011673,426.2635301563542
2018-12-02,331.1777585462401,266.55030953355083,391.91110133236066
2018-12-09,321.6646677458184,256.56763099960637,384.69135340260357
2018-12-16,331.85225810891325,268.6770867043177,398.40783250750184
2018-12-23,352.1946437764439,287.2853759996979,417.1715786557419
2018-12-30,367.97987403160107,303.5955269196682,434.24004720241476
2019-01-06,367.62959765901076,303.10602279887985,430.9949532233986
2019-01-13,349.4561377004464,287.23966125833147,413.4614108670494
2019-01-20,322.5633949784342,257.12603871541984,390.4006682232925
2019-01-27,300.18847991117906,230.7699177110932,364.1210761793452
2019-02-03,289.4107659531512,226.37238376491695,354.9073815442247
2019-02-10,285.26307841499124,221.53582995850996,350.80436143730594
2019-02-17,275.29363623235685,210.03237533677208,342.41702236567716
2019-02-24,251.46692892012942,188.9320715169224,316.94964559785905
2019-03-03,218.71423487189833,154.88770367981834,281.8653173969696
2019-03-10,191.59438745134577,127.34931352035818,256.7674669661011
2019-03-17,181.77026616971017,117.59465167056283,245.83272886027004
2019-03-24,188.32418022776724,124.50299954252709,247.38073569874183
2019-03-31,200.1808668054936,133.3108862534736,267.81417269078145
2019-04-07,207.64992820219322,145.01801260847802,274.42297483422243
2019-04-14,210.63350869852255,142.88164788699055,278.6533389708466
2019-04-21,215.68761761944666,151.60884530444218,283.57233935570065
2019-04-28,226.21154155784407,165.21245894225282,286.9846116287294
2019-05-05,237.25265164311236,171.90019116431455,301.6121386744152
2019-05-12,240.42399730306448,171.44354735553915,306.2330759962843
2019-05-19,232.72389041353657,169.0023433685805,295.20200708972095
2019-05-26,219.03069444980318,150.0298004386654,285.63748968539727
2019-06-02,205.844824488913,142.90915808121184,278.103884527165
2019-06-09,194.0773727041767,128.65371151119538,261.92065443152234
2019-06-16,179.1069100628789,109.55791053355291,240.92954486907178
2019-06-23,157.68039301812112,86.75933669065172,224.94570355953473
2019-06-30,133.1200475242215,67.07478367879945,201.99371227944116
2019-07-07,112.74502779120839,49.87232303942691,174.06462685021256
2019-07-14,100.67292222595074,36.69350741773705,165.3813086443522
2019-07-21,94.33654814902538,27.733511007460205,158.09989058313624
2019-07-28,88.42573135289578,23.39298882674688,156.39705771902698
2019-08-04,81.39844058514768,6.492157756425184,141.95840467073654
2019-08-11,77.13130089006717,10.771506259897537,140.9353796896611
2019-08-18,80.1380217634482,13.166963416537781,143.08541060578733
2019-08-25,89.93077008949437,26.25198510632115,158.51928254312688
2019-09-01,100.68348484840995,37.99145835832055,166.1772341467139
2019-09-08,106.50059015110511,37.94803107089191,166.6332556891536
2019-09-15,107.1650788150129,42.14787244637211,171.41081470271908
2019-09-22,109.45814133271925,39.79379447286414,178.86784397491655
2019-09-29,123.49675507234561,57.25319399164319,188.22962699689586
2019-10-06,157.00277657392698,93.23393353088709,225.507266434618
2019-10-13,210.6244951411917,144.92227874320932,276.8820651094347
2019-10-20,276.0800762971526,209.2176453189807,341.11131828742776
2019-10-27,338.03555803150016,272.69187011845474,403.9839615015921
2019-11-03,379.83030274991,314.039299608415,447.0909042426189
2019-11-10,391.1755429785213,324.2278756950281,455.75228298525883
2019-11-17,373.74435428933407,311.7503569648253,439.2429683361721
2019-11-24,340.8150974622487,271.3812065486411,406.2328965836883
2019-12-01,310.6403596528065,247.40633979280162,374.8799084671921
2019-12-08,297.3312149266386,228.68167318887237,361.1971528348365
2019-12-15,304.3738788335194,241.81299901675817,374.4233646591971
2019-12-22,323.8736044305679,264.6002043352152,388.66093972225514
2019-12-29,341.45870202022525,278.12855296608956,409.0987872184499
2020-01-05,344.3903722027012,280.90344211365556,411.00500224609766
2020-01-12,328.93287252279913,265.8119651952457,395.7742762912712
2020-01-19,302.54742328789564,236.590521418487,366.81007624223673
2020-01-26,278.4929675054574,208.40020124709605,342.72671691834876
2020-02-02,265.6097592565694,206.03683539512187,330.17983638374125
2020-02-09,261.06580793442055,197.55694965725786,325.7645625821578
2020-02-16,252.96914450955242,187.12498031016196,325.98966970820953
2020-02-23,231.6146298876316,169.6674792129691,300.09819744938994
2020-03-01,199.4797219531847,136.3824499718232,263.33637916917394
2020-03-08,170.18770205991908,108.9465935614722,238.03628515973296
2020-03-15,156.88618793708338,93.64973659363079,229.91222681235183
2020-03-22,161.1133451051773,97.04327462238787,225.73234251980216
2020-03-29,172.9121691392343,109.91283644351634,240.73552371987074
2020-04-05,181.45999455283408,115.41755114566377,254.06783231640705
2020-04-12,184.81743070821815,115.66275615002465,250.47320177022874
2020-04-19,189.01906844508912,122.22204542809182,251.71030515870737
2020-04-26,198.6804180248877,131.51992576938895,259.0527578698356
2020-05-03,210.25044518200806,142.1435600836158,275.3136072421634
2020-05-10,215.27385001180537,149.46816185994567,278.31452079427555
2020-05-17,209.3220612859436,141.5514362219356,270.4369562104296
2020-05-24,196.13063775263572,131.14208558577417,264.00371486321666
2020-05-31,182.5701756462375,118.44164638551607,247.87586173231853
2020-06-07,170.7990862807981,108.28580018009617,240.44639964599756
2020-06-14,156.7824532302477,94.37300086048594,223.8708537656867
2020-06-21,136.46880802547741,72.72909359026063,200.04213479033416
2020-06-28,111.95657300893178,39.91685011747025,180.87500727028785
2020-07-05,90.35215367410692,24.925579651061796,149.9059581917165
2020-07-12,76.80613456268988,10.621539142663488,142.06309846512363
2020-07-19,69.84932086594878,2.666256042021815,129.50166302799363
2020-07-26,64.14851881284642,1.320413475609893,133.3891279141524
2020-08-02,57.157739195513585,-8.460269669068284,121.19201626803768
2020-08-09,51.99501214260209,-9.746030815382904,117.58012846771452
2020-08-16,53.549844090474124,-13.720058846262242,117.58000676968737
2020-08-23,62.45122333610806,-4.096715419011226,124.20286639216417
2020-08-30,73.55273890017574,7.528837027639975,141.27730921142768
2020-09-06,80.48097976222003,17.432675820397208,146.92994695130722
2020-09-13,81.74478213077397,14.160901265062934,148.46356438763667
2020-09-20,83.02792278858995,19.958109550037726,148.50481039296827
2020-09-27,94.25998236979889,34.156551374098115,160.2027759827868
